,TT_74FS,XGS600_T1,XGS600_T2,XGS600_T3,XGS600_T4
2025-09-18 11:00:03.821245-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:00:04.827514-05:00,1.1,1919.0,,13.33,0.9146
2025-09-18 11:00:05.827812-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:00:06.842709-05:00,1.1,1917.0,,13.33,0.9211
2025-09-18 11:00:07.845675-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:00:08.842819-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:00:09.858425-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:00:10.874041-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:00:11.890904-05:00,1.1,1917.0,,13.33,0.9233
2025-09-18 11:00:12.876888-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:00:13.890042-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:00:14.889735-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:00:15.873951-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:00:16.890231-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:00:17.889663-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:00:18.920892-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:00:19.877844-05:00,1.1,1917.0,,13.33,0.9189
2025-09-18 11:00:20.906031-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:00:21.905519-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:00:22.920766-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:00:23.905652-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:00:24.921461-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:00:25.936696-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:00:26.936797-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:00:27.968635-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:00:28.968344-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:00:29.984043-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:00:30.952431-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:00:31.952530-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:00:32.983491-05:00,1.1,1917.0,,13.33,0.9167
2025-09-18 11:00:33.969692-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:00:34.970795-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:00:35.968522-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:00:36.952711-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:00:37.967706-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:00:38.952459-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:00:39.968443-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:00:40.985728-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:00:42.015084-05:00,1.1,1919.0,,13.33,0.9189
